"3,1,11,1","[1, 4, 10, 26, 62, 144, 338, 743, 1661, 3671, 7893, 17004, 36130, 75733, 157315, 320359, 639743, 1240609, 2275687, 3929957, 6454158, 9990635, 14543625, 19924725, 25619932, 30669368, 33845318, 33788256, 29134536, 19068718, 6852025, 859774, 40036, 2426, 165, 13]"
"3,1,11,2","[1, 4, 10, 26, 66, 170, 426, 1052, 2570, 6150, 14184, 32860, 74731, 167038, 370090, 807949, 1726869, 3590977, 7204254, 13704263, 24124389, 37944434, 50536043, 52160836, 35205883, 10983117, 837109, 5286, 13]"
"3,1,11,3","[1, 4, 10, 26, 66, 170, 432, 1104, 2758, 6803, 16700, 40282, 96083, 226045, 521006, 1178001, 2599656, 5558746, 11378425, 21829774, 37686883, 54425913, 57620836, 35977030, 9607296, 716528, 10150, 72]"
"3,1,11,4","[1, 4, 10, 26, 66, 170, 432, 1104, 2766, 6891, 17054, 41458, 99932, 238721, 559974, 1287212, 2876034, 6206505, 12725608, 24166891, 40742903, 56330370, 55469065, 31064745, 7190058, 465527, 7160, 111, 2]"
"3,1,11,5","[1, 4, 10, 26, 66, 170, 430, 1091, 2722, 6704, 16244, 38542, 90553, 208919, 468842, 1029144, 2196131, 4507993, 8842243, 16322283, 27671150, 41521676, 51759332, 47723075, 27587331, 8325861, 1111823, 65759, 2495, 163, 15, 2]"
"3,1,12,1","[1, 4, 10, 26, 62, 144, 339, 747, 1673, 3714, 8038, 17433, 37474, 79679, 169061, 355229, 742037, 1540470, 3155213, 6294184, 11978804, 21974446, 38861674, 65859449, 107034308, 166793491, 248627338, 353459076, 477153173, 608747732, 728888156, 812532223, 831877038, 761175683, 582364404, 310352586, 79463878, 7077437, 364500, 27040, 2568, 233, 24, 1]"
"4,0,4,0","[1, 4, 10, 24, 58, 140, 334, 710, 1158, 1270, 834, 343, 123, 29, 2]"
"4,0,5,0","[1, 4, 11, 28, 72, 186, 470, 1170, 2640, 5148, 8502, 10582, 7851, 2912, 660, 79, 4]"
"4,0,6,0","[1, 4, 11, 29, 76, 200, 522, 1345, 3229, 7350, 15620, 31355, 55997, 81446, 86446, 57169, 19428, 2540, 110, 2]"
"4,0,7,0","[1, 4, 11, 30, 80, 214, 570, 1500, 3712, 8914, 20602, 46041, 98952, 201052, 376949, 622752, 837137, 809112, 464523, 124736, 11447, 434, 24, 3]"
"4,0,8,0","[1, 4, 11, 30, 81, 218, 584, 1548, 3873, 9436, 22343, 51963, 117398, 258742, 551824, 1128053, 2173509, 3854466, 6088405, 8127504, 8442293, 6052951, 2532488, 473057, 25587, 428, 3]"
"4,1,4,1","[1, 4, 10, 22, 42, 33, 7, 1]"
"4,1,4,2","[1, 4, 10, 24, 54, 116, 230, 206, 65, 10]"
"4,1,5,1","[1, 4, 11, 28, 68, 152, 334, 664, 1124, 1448, 1032, 172, 2]"
"4,1,5,2","[1, 4, 11, 28, 72, 178, 426, 856, 1495, 1443, 490, 36]"
"4,1,6,1","[1, 4, 11, 29, 72, 166, 384, 836, 1738, 3456, 6186, 9267, 10030, 6241, 1721, 157, 16, 4, 1]"
"4,1,6,2","[1, 4, 11, 29, 74, 188, 454, 1040, 2247, 4435, 7645, 10017, 8944, 4405, 784, 42]"
"4,1,6,3","[1, 4, 11, 29, 76, 190, 458, 1093, 2552, 5590, 10227, 11754, 6815, 1500, 20]"
"4,1,7,1","[1, 4, 11, 30, 76, 180, 430, 973, 2128, 4572, 9582, 19080, 35208, 59220, 84688, 86682, 49419, 10103, 488, 5]"
"4,1,7,2","[1, 4, 11, 30, 80, 214, 564, 1464, 3766, 9489, 22892, 50512, 93414, 114517, 58922, 6899, 94, 6, 1]"
"4,1,7,3","[1, 4, 11, 30, 80, 214, 568, 1502, 3706, 8860, 20240, 43680, 79944, 107049, 77606, 18516, 847, 21, 1]"
"4,1,8,1","[1, 4, 11, 30, 77, 184, 446, 1033, 2349, 5347, 12133, 27289, 60321, 129572, 263053, 484785, 760085, 903838, 681829, 261537, 34090, 780, 5, 1]"
"4,1,8,2","[1, 4, 11, 30, 81, 218, 578, 1502, 3863, 9762, 24309, 59038, 137857, 304326, 598921, 934951, 953618, 502041, 95158, 2528, 3]"
"4,1,8,3","[1, 4, 11, 30, 81, 216, 572, 1514, 3961, 10176, 25974, 64931, 157069, 354627, 690541, 1004280, 885716, 377627, 50444, 993, 30, 2]"
"4,1,8,4","[1, 4, 11, 30, 81, 218, 566, 1446, 3641, 9090, 22359, 53454, 123013, 268997, 537397, 885469, 994403, 591858, 132914, 3834, 14]"
"4,1,9,1","[1, 4, 11, 30, 78, 188, 460, 1081, 2498, 5799, 13408, 30898, 70748, 160512, 359177, 781793, 1630784, 3178106, 5605942, 8454257, 9867905, 7293787, 2306210, 152283, 835, 4, 1]"
"4,1,9,2","[1, 4, 11, 30, 82, 222, 592, 1560, 4088, 10624, 27391, 69790, 174748, 429339, 1020658, 2303952, 4788749, 8551339, 11390015, 8692856, 2353929, 96502, 310, 7, 1]"
"4,1,9,3","[1, 4, 11, 30, 82, 222, 598, 1610, 4284, 11348, 29877, 77570, 199047, 498985, 1203729, 2730823, 5620656, 9656239, 11632779, 7015210, 1199142, 33829, 702, 21, 1]"
"4,1,9,4","[1, 4, 11, 30, 82, 222, 598, 1610, 4302, 11274, 29470, 76579, 197159, 497598, 1216768, 2798219, 5749222, 9622373, 11112732, 6868154, 1629098, 100057, 1220, 16, 1]"
"4,1,10,1","[1, 4, 11, 30, 78, 189, 464, 1095, 2546, 5946, 13877, 32280, 74840, 172745, 395618, 893775, 1981791, 4287121, 8966583, 17886604, 33313093, 56325962, 83294840, 102050396, 94379136, 56217389, 17060577, 1627175, 17344, 89, 1]"
"4,1,10,2","[1, 4, 11, 30, 82, 223, 596, 1574, 4134, 10767, 27813, 71029, 178783, 443845, 1081885, 2579408, 6001029, 13478147, 28620524, 55498213, 92612170, 120064958, 102974796, 47176768, 7998868, 175833, 108, 1]"
"4,1,10,3","[1, 4, 11, 30, 82, 223, 602, 1624, 4342, 11553, 30727, 81280, 213427, 554214, 1417655, 3549333, 8611534, 19883292, 42443641, 79465691, 118201040, 119432426, 67608136, 16514624, 969556, 6502, 46, 4]"
"4,1,10,4","[1, 4, 11, 30, 82, 223, 600, 1612, 4300, 11427, 30238, 79474, 207621, 538657, 1382813, 3484712, 8548650, 20064553, 43536882, 82039361, 120609076, 118112361, 64248354, 15160479, 932103, 7907, 69]"
"4,2,4,2","[1, 4, 10, 8, 1]"
"4,2,5,1","[1, 4, 11, 28, 72, 176, 396, 856, 1359, 1361, 644, 112, 16, 4]"
"4,2,5,2","[1, 4, 11, 28, 72, 160, 298, 528, 917, 1248, 1093, 532, 136, 10, 2]"
"4,2,6,1","[1, 4, 11, 29, 76, 200, 512, 1261, 2868, 5717, 9406, 10922, 7169, 2023, 117, 4]"
"4,2,6,2","[1, 4, 11, 29, 76, 184, 430, 955, 1973, 3766, 6539, 9122, 9132, 5969, 1979, 128, 19, 3]"
"4,2,6,3","[1, 4, 11, 29, 62, 97, 98, 56, 19, 6, 1]"
"4,2,7,1","[1, 4, 11, 30, 80, 214, 570, 1480, 3717, 8727, 18840, 38089, 65842, 91403, 86118, 41555, 5850, 281, 48, 15, 4, 1]"
"4,2,7,2","[1, 4, 11, 30, 80, 198, 480, 1176, 2703, 6028, 12616, 25120, 45849, 73175, 93720, 73128, 24710, 3497, 310, 36, 7, 1]"
"4,2,7,3","[1, 4, 11, 30, 80, 198, 484, 1180, 2709, 5928, 12355, 24579, 46396, 76385, 95586, 72933, 22788, 1170, 57, 6]"
